PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
373,1913686429,7.95793390274048,-10.92881488800049,94.90434265136719,2.41925835609436,1.25053834915161,9.10721015930176,11.48431777954102,4.96664285659790,29.63650131225586
374,1913694762,7.99500370025635,-10.94039344787598,95.15770721435547,2.47909879684448,1.24540495872498,9.04265689849854,11.77365779876709,5.24752950668335,28.75117301940918
375,1913703095,8.03516769409180,-10.92234420776367,95.40106201171875,2.53952574729919,1.21765255928040,9.00079822540283,12.18000030517578,6.27025461196899,27.29379463195801
376,1913711428,8.08456897735596,-10.88577556610107,95.63582611083984,2.54098200798035,1.15951383113861,8.95975208282471,13.09315109252930,8.33330440521240,25.97881698608398
377,1913719761,8.14137649536133,-10.86421585083008,95.85858154296875,2.58976554870605,1.21281313896179,8.95428657531738,13.43282127380371,8.81272506713867,24.60074043273926
378,1913728094,8.20337104797363,-10.83755493164062,96.07358551025391,2.61445212364197,1.18370497226715,8.96734237670898,13.89410686492920,9.35103321075439,23.60106277465820
379,1913736427,8.26630973815918,-10.78629970550537,96.28240203857422,2.67216968536377,1.21874046325684,8.96659755706787,14.07125473022461,9.75379371643066,22.68128395080566
380,1913744760,8.33772945404053,-10.75817394256592,96.47782897949219,2.70157265663147,1.18756008148193,8.98075485229492,14.57116508483887,9.31002521514893,21.26127624511719
381,1913753093,8.40764808654785,-10.71341133117676,96.66339111328125,2.71127581596375,1.25795519351959,9.01319503784180,14.35121440887451,8.64774227142334,20.06519126892090
382,1913761426,8.47498703002930,-10.67599868774414,96.84329986572266,2.67620706558228,1.29393303394318,8.96255207061768,13.91031551361084,7.68280172348022,19.52682876586914
383,1913769759,8.54083538055420,-10.66822910308838,97.02174377441406,2.68907499313354,1.30009889602661,8.91785144805908,13.50064373016357,6.76709222793579,19.60595321655273
384,1913778092,8.59967231750488,-10.66824722290039,97.19526672363281,2.75602793693542,1.23933374881744,8.88430404663086,12.56264877319336,5.82515382766724,19.16123962402344
